,id,start_date,num_samples,end_date,days_to_complete,library_type,library_category
71,653,7/7/2014,2,8/7/2014,32.0,Nextera XT,DNA Seq
72,654,7/7/2014,2,8/13/2014,38.0,Ready Made Library-Homemade kit,Sequencing only
73,656,12/2/2013,6,8/6/2014,247.95833330000002,TruSeq RNA stranded,RNA Seq
74,657,7/1/2014,10,8/20/2014,51.0,Ready Made library,Others
75,658,4/24/2014,24,8/4/2014,103.0,NEB Next Ultra DNA,DNA Seq
76,659,6/17/2014,12,8/20/2014,65.0,TruSeq RNA stranded,RNA Seq
77,660,6/21/2014,12,12/22/2014,185.04166669999998,TruSeq RNA stranded,RNA Seq
78,661,6/27/2014,12,12/22/2014,179.04166669999998,TruSeq RNA stranded,RNA Seq
79,663,7/9/2014,4,8/22/2014,45.0,TruSeq RNA stranded,RNA Seq
80,664,7/2/2014,8,8/6/2014,36.0,TruSeq RNA stranded,RNA Seq
81,667,7/16/2014,16,8/22/2014,38.0,Ready Made Library,Others
82,668,6/2/2014,20,8/28/2014,88.0,Ready Made Libraries,Others
83,670,7/11/2014,12,8/4/2014,25.0,Ready Made Library-Clonetech,Sequencing only
84,671,7/16/2014,12,8/6/2014,22.0,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
85,725,7/24/2014,15,8/28/2014,36.0,TruSeq RNA stranded,RNA Seq
86,726,7/21/2014,6,9/24/2014,66.0,Ready Made Library,Others
87,727,7/21/2014,12,9/11/2014,53.0,Ready Made Library,Others
88,728,7/21/2014,16,9/11/2014,53.0,Ready Made Library,Others
89,733,7/18/2014,23,8/20/2014,34.0,Ready Made Fragment Library,Sequencing only
90,734,7/31/2014,2,9/24/2014,56.0,Ready made Library Bisulfide Treatment,Sequencing only
91,735,7/30/2014,8,8/28/2014,30.0,TruSeq RNA stranded,RNA Seq
92,736,7/28/2014,5,9/24/2014,59.0,NEB Next Ultra DNA,DNA Seq
93,737,7/22/2014,8,8/28/2014,38.0,TruSeq RNA stranded,RNA Seq
94,738,7/2/2014,8,9/11/2014,72.0,TruSeq RNA stranded,RNA Seq
95,739,7/21/2014,28,9/16/2014,58.0,TruSeq RNA stranded,RNA Seq
96,740,8/6/2014,11,12/6/2014,123.04166670000001,TruSeq RNA stranded,RNA Seq
97,741,8/6/2014,11,12/6/2014,123.04166670000001,TruSeq RNA stranded,RNA Seq
98,742,8/6/2014,11,12/6/2014,123.04166670000001,TruSeq RNA stranded,RNA Seq
99,743,8/6/2014,12,8/28/2014,23.0,Ready Made Library,Others
100,744,7/30/2014,10,8/28/2014,30.0,TruSeq DNA,DNA Seq
101,745,7/22/2014,11,10/8/2014,79.0,NEBnext smRNA,Others
102,746,7/22/2014,11,10/8/2014,79.0,NEBnext smRNA,Others
103,747,7/22/2014,11,10/8/2014,79.0,NEBnext smRNA,Others
104,748,8/6/2014,18,9/3/2014,29.0,TruSeq RNA stranded,RNA Seq
105,749,8/6/2014,8,9/3/2014,29.0,TruSeq RNA stranded,RNA Seq
106,750,7/28/2014,5,9/3/2014,38.0,TruSeq RNA stranded,RNA Seq
107,752,8/21/2014,8,10/8/2014,49.0,TruSeq RNA stranded,RNA Seq
108,753,8/26/2014,12,10/8/2014,44.0,TruSeq RNA stranded,RNA Seq
109,754,8/29/2014,1,10/8/2014,41.0,TruSeq RNA stranded,RNA Seq
110,755,8/29/2014,18,10/8/2014,41.0,Nextera XT,DNA Seq
111,756,8/27/2014,16,10/8/2014,43.0,Ready Made Library,Others
112,757,8/27/2014,12,9/24/2014,29.0,Ready Made Library,Others
113,758,8/27/2014,4,9/24/2014,29.0,Ready Made Library,Others
114,759,9/3/2014,1,9/16/2014,14.0,Ready Made library,Others
115,760,9/3/2014,1,9/16/2014,14.0,Ready Made library,Others
116,761,9/1/2014,8,10/8/2014,38.0,Ready Made Library,Others
117,763,9/3/2014,21,10/8/2014,36.0,TruSeq DNA PCR-Free LT Kit,DNA Seq
118,765,9/1/2014,12,10/8/2014,38.0,TruSeq RNA stranded,RNA Seq
119,767,9/5/2014,10,9/8/2014,4.0,Ready Made library,Others
120,769,9/5/2014,12,10/8/2014,34.0,TruSeq RNA stranded,RNA Seq
121,772,9/8/2014,14,9/16/2014,9.0,Ready Made Library,Others
122,773,9/8/2014,12,10/8/2014,31.0,TruSeq RNA stranded,RNA Seq
123,776,9/8/2014,72,10/18/2014,41.0,TruSeq RNA stranded,RNA Seq
124,777,9/9/2014,6,10/18/2014,40.0,Ovation Rapid Library Systems,Others
125,778,9/8/2014,6,10/18/2014,41.0,TruSeq RNA stranded,RNA Seq
126,779,9/7/2014,8,4/16/2015,222.0,TruSeq RNA stranded,RNA Seq
127,780,9/8/2014,35,12/18/2014,102.04166670000001,,Others
128,781,6/26/2014,11,11/13/2014,141.04166669999998,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
129,782,9/16/2014,5,12/18/2014,94.04166667,Nugen Ultra Low Input,DNA Seq
130,783,8/28/2014,1,10/8/2014,42.0,Ready Made library,Others
131,784,9/23/2014,8,12/18/2014,87.04166667,Ready made Library Bisulfide Treatment,Sequencing only
132,785,9/22/2014,24,12/18/2014,88.04166667,None,Unknown
133,790,9/30/2014,4,11/26/2014,58.04166667,TruSeq RNA stranded,RNA Seq
134,792,7/18/2014,4,11/13/2014,119.04166670000001,Ready Made Libraries,Others
135,793,9/8/2014,12,11/13/2014,67.04166667,,Others
136,795,10/1/2014,4,12/6/2014,67.04166667,TruSeq RNA stranded,RNA Seq
137,796,10/6/2014,8,12/18/2014,74.04166667,Ready Made Library,Others
138,797,10/1/2014,8,12/16/2014,77.04166667,,Others
139,799,9/19/2014,5,12/18/2014,91.04166667,,Others
140,800,10/6/2014,4,12/18/2014,74.04166667,NEB Next Ultra DNA,DNA Seq
141,801,10/20/2014,8,11/26/2014,38.04166667,TruSeq RNA stranded,RNA Seq
142,802,10/2/2014,5,11/13/2014,43.04166667,Ready made Library Bisulfide Treatment,Sequencing only
143,804,10/14/2014,6,12/22/2014,70.04166667,TruSeq RNA stranded,RNA Seq
144,805,10/20/2014,4,12/16/2014,58.04166667,Nugen Ultra Low Input,DNA Seq
145,806,10/21/2014,5,12/6/2014,47.04166667,TruSeq RNA stranded,RNA Seq
146,807,10/28/2014,1,11/26/2014,30.0,Ready Made library,Others
147,810,10/30/2014,1,11/13/2014,15.0,Ready Made library,Others
148,811,10/30/2014,1,11/13/2014,15.0,Ready Made library,Others
149,812,10/15/2014,10,12/22/2014,69.04166667,TruSeq RNA stranded,RNA Seq
150,813,11/3/2014,6,11/26/2014,24.0,Ready Made Library,Others
151,817,10/31/2014,6,11/26/2014,27.0,Ready Made Library,Others
152,818,11/3/2014,6,11/26/2014,24.0,Ready Made Library,Others
153,820,11/3/2014,51,12/16/2014,44.0,TruSeq RNA stranded,RNA Seq
154,821,11/4/2014,100,12/22/2014,49.0,,Others
155,822,9/11/2014,6,11/13/2014,64.04166667,Ready Made library,Others
156,828,11/6/2014,12,12/6/2014,31.0,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
157,831,11/5/2014,24,1/27/2016,449.0,TruSeq RNA stranded,RNA Seq
158,832,10/27/2014,1,12/22/2014,57.0,NEB Next Ultra DNA,DNA Seq
159,835,11/17/2014,3,12/28/2014,42.0,Ready Made Library-Homemade kit,Sequencing only
160,836,11/20/2014,10,12/16/2014,27.0,TruSeq RNA stranded,RNA Seq
161,837,11/13/2014,19,12/28/2014,46.0,TruSeq RNA stranded,RNA Seq
162,840,11/20/2014,48,12/16/2014,27.0,TruSeq RNA stranded,RNA Seq
163,842,11/20/2014,1,12/16/2014,27.0,NEB Next Ultra DNA,DNA Seq
164,843,11/13/2014,1,12/22/2014,40.0,NEB Next Ultra DNA,DNA Seq
165,847,11/20/2014,4,12/17/2014,28.0,Nextera XT,DNA Seq
166,848,10/31/2014,6,12/22/2014,53.0,,Others
167,850,11/20/2014,1,12/28/2014,39.0,Ready Made Fragment Library,Sequencing only
168,851,11/6/2014,6,12/16/2014,41.0,TruSeq RNA stranded,RNA Seq
169,852,11/20/2014,48,12/16/2014,27.0,TruSeq RNA stranded,RNA Seq
170,853,11/20/2014,6,12/16/2014,27.0,TruSeq RNA stranded,RNA Seq
171,855,9/30/2014,4,12/22/2014,84.04166667,TruSeq RNA stranded,RNA Seq
172,856,10/31/2014,24,12/28/2014,59.0,TruSeq RNA stranded,RNA Seq
173,857,11/24/2014,12,12/28/2014,35.0,TruSeq RNA stranded,RNA Seq
174,859,11/20/2014,10,12/16/2014,27.0,TruSeq RNA stranded,RNA Seq
175,861,10/23/2014,16,4/16/2015,176.0,TruSeq RNA stranded,RNA Seq
176,863,12/5/2014,2,12/16/2014,12.0,Ready Made library,Others
177,865,12/2/2014,3,12/28/2014,27.0,NEB Next Ultra DNA,DNA Seq
178,866,12/9/2014,1,12/28/2014,20.0,NEB Next Ultra DNA,DNA Seq
179,867,11/25/2014,15,12/22/2014,28.0,Ready Made Fragment Library,Sequencing only
180,868,12/9/2014,12,4/16/2015,128.9583333,TruSeq RNA stranded,RNA Seq
181,871,12/11/2014,3,2/5/2015,57.0,Nextera XT,DNA Seq
182,872,12/10/2014,18,4/16/2015,127.95833329999999,TruSeq RNA stranded,RNA Seq
183,873,11/13/2014,105,4/16/2015,154.95833330000002,TruSeq RNA stranded,RNA Seq
184,874,12/12/2014,7,4/16/2015,125.95833329999999,TruSeq RNA stranded,RNA Seq
185,878,12/16/2014,31,4/16/2015,121.95833329999999,NEB Next Ultra DNA,DNA Seq
186,880,12/18/2014,1,12/28/2014,11.0,Ready Made library,Others
187,882,12/18/2014,5,4/16/2015,119.95833329999999,TruSeq Small RNA,Others
188,883,12/12/2014,8,1/27/2015,47.0,TruSeq RNA stranded,RNA Seq
189,884,12/11/2014,3,4/16/2015,126.95833329999999,NEB Next Ultra DNA,DNA Seq
190,885,12/18/2014,5,1/27/2015,41.0,TruSeq RNA stranded,RNA Seq
191,886,12/19/2014,30,12/28/2014,10.0,NEBnext smRNA,Others
192,888,12/15/2014,96,4/16/2015,122.95833329999999,,Others
193,890,1/5/2015,11,4/16/2015,101.95833329999999,Ready Made Library,Others
194,892,10/21/2014,5,1/27/2015,99.04166667,TruSeq RNA stranded,RNA Seq
195,893,11/3/2014,51,4/16/2015,164.95833330000002,TruSeq RNA unstranded,RNA Seq
196,894,12/19/2014,2,4/16/2015,118.95833329999999,TruSeq RNA stranded,RNA Seq
197,895,1/8/2015,17,4/16/2015,98.95833333,None,Unknown
198,896,9/1/2014,12,4/16/2015,228.0,TruSeq RNA stranded,RNA Seq
199,897,11/13/2014,36,1/27/2015,76.0,TruSeq RNA stranded,RNA Seq
200,899,1/8/2015,9,4/16/2015,98.95833333,TruSeq RNA stranded,RNA Seq
201,900,1/12/2015,8,1/27/2015,16.0,TruSeq RNA stranded,RNA Seq
202,901,1/12/2015,45,4/16/2015,94.95833333,TruSeq RNA stranded,RNA Seq
203,902,11/27/2014,12,4/16/2015,140.95833330000002,,Others
204,903,1/16/2015,22,5/6/2015,110.95833329999999,NEB Next Ultra DNA,DNA Seq
205,904,1/20/2015,9,4/16/2015,86.95833333,TruSeq RNA stranded,RNA Seq
206,906,1/19/2015,42,7/22/2015,184.95833330000002,TruSeq RNA stranded,RNA Seq
207,907,11/6/2014,24,4/16/2015,161.95833330000002,TruSeq RNA stranded,RNA Seq
208,912,1/19/2015,6,4/16/2015,87.95833333,TruSeq RNA stranded,RNA Seq
209,913,1/20/2015,12,4/16/2015,86.95833333,TruSeq RNA stranded,RNA Seq
210,915,2/2/2015,10,4/16/2015,73.95833333,TruSeq RNA stranded,RNA Seq
211,916,11/13/2014,105,4/16/2015,154.95833330000002,TruSeq RNA stranded,RNA Seq
212,917,1/19/2015,4,8/25/2015,218.95833330000002,TruSeq RNA stranded,RNA Seq
213,921,2/3/2015,10,4/16/2015,72.95833333,Ready Made Library,Others
214,922,1/28/2015,4,4/16/2015,78.95833333,Ready Made Libraries,Others
215,923,1/30/2015,17,4/16/2015,76.95833333,NEB Next Ultra DNA,DNA Seq
216,925,2/11/2015,8,4/16/2015,64.95833333,Ready Made library,Others
217,927,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded,RNA Seq
218,928,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded,RNA Seq
219,929,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded,RNA Seq
220,933,2/6/2015,5,4/16/2015,69.95833333,NEB Next Ultra DNA,DNA Seq
221,934,12/12/2014,4,4/16/2015,125.95833329999999,,Others
222,938,1/19/2015,2,4/16/2015,87.95833333,Nextera XT,DNA Seq
223,942,1/15/2015,7,4/16/2015,91.95833333,Ready Made Library,Others
224,947,2/16/2015,1,4/16/2015,59.95833333,Ready Made library,Others
225,949,2/19/2015,10,4/16/2015,56.95833333,TruSeq RNA stranded,RNA Seq
226,950,2/19/2015,30,4/20/2015,60.95833333,TruSeq RNA stranded,RNA Seq
227,951,2/20/2015,32,4/20/2015,59.95833333,TruSeq RNA stranded,RNA Seq
228,953,12/9/2014,4,4/16/2015,128.9583333,TruSeq Small RNA,Others
229,954,4/10/2014,12,4/16/2015,372.0,NEBnext smRNA,Others
230,955,2/23/2015,15,4/16/2015,52.95833333,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
231,956,2/19/2015,16,4/16/2015,56.95833333,Ready Made Library,Others
232,957,2/19/2015,15,4/16/2015,56.95833333,Ready Made Library,Others
233,958,2/19/2015,11,4/16/2015,56.95833333,Ready Made Library,Others
234,959,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library,Others
235,960,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library,Others
236,961,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library,Others
237,962,2/15/2015,17,4/14/2015,58.95833333,,Others
238,963,2/13/2015,10,4/16/2015,62.95833333,Ready Made Library,Others
239,964,2/17/2015,9,4/16/2015,58.95833333,TruSeq RNA stranded,RNA Seq
240,966,2/19/2015,9,4/16/2015,56.95833333,TruSeq RNA stranded,RNA Seq
241,967,2/20/2015,96,4/16/2015,55.95833333,Ready Made Library-Homemade kit,Sequencing only
242,968,2/25/2015,2,4/16/2015,50.95833333,NEB Next Ultra DNA,DNA Seq
243,969,2/23/2015,1,4/16/2015,52.95833333,NEB Next Ultra DNA,DNA Seq
244,971,2/10/2015,2,4/16/2015,65.95833333,Ready made Library Bisulfide Treatment,Sequencing only
245,972,2/5/2015,1,4/16/2015,70.95833333,Ready Made library,Others
246,974,3/2/2015,22,4/14/2015,43.95833333,TruSeq RNA stranded,RNA Seq
247,975,3/4/2015,96,4/16/2015,43.95833333,,Others
248,976,1/15/2015,5,4/16/2015,91.95833333,Ready Made Library,Others
249,982,3/5/2015,9,5/13/2015,69.95833333,TruSeq RNA stranded,RNA Seq
250,988,2/17/2015,9,4/16/2015,58.95833333,TruSeq RNA stranded,RNA Seq
251,990,2/2/2015,4,5/27/2015,114.95833329999999,TruSeq RNA stranded,RNA Seq
252,991,3/11/2015,6,8/16/2015,158.95833330000002,TruSeq RNA stranded,RNA Seq
253,992,3/9/2015,12,5/13/2015,65.95833333,TruSeq RNA stranded,RNA Seq
254,993,3/6/2015,12,6/23/2015,109.95833329999999,NEBnext smRNA,Others
255,994,3/6/2015,9,6/23/2015,109.95833329999999,NEBnext smRNA,Others
256,996,3/9/2015,8,4/14/2015,36.95833333,TruSeq RNA stranded,RNA Seq
257,1012,3/10/2015,2,4/20/2015,41.95833333,TruSeq DNA Nano,DNA Seq
258,1013,3/17/2015,1,4/16/2015,30.95833333,Ready-made library ddRAD,Sequencing only
259,1014,2/27/2015,2,5/6/2015,68.95833333,TruSeq DNA Nano,DNA Seq
260,1015,2/27/2015,6,4/20/2015,52.95833333,TruSeq RNA stranded,RNA Seq
261,1016,3/17/2015,1,4/16/2015,30.95833333,Ready Made library,Others
262,1017,3/13/2015,12,5/4/2015,52.95833333,TruSeq RNA stranded,RNA Seq
263,1018,3/3/2015,6,4/16/2015,44.95833333,Ready Made Fragment Library,Sequencing only
264,1019,3/11/2015,1,4/16/2015,36.95833333,Ready Made Library,Others
265,1020,3/17/2015,5,4/16/2015,30.95833333,Ready Made Library,Others
266,1021,3/19/2015,5,5/6/2015,48.95833333,TruSeq DNA Nano,DNA Seq
267,1023,3/12/2015,12,6/22/2015,102.95833329999999,,Others
268,1024,3/19/2015,4,5/6/2015,48.95833333,TruSeq DNA Nano,DNA Seq
269,1025,3/23/2015,20,6/9/2015,78.95833333,TruSeq RNA stranded,RNA Seq
270,1026,3/20/2015,7,5/6/2015,47.95833333,TruSeq DNA Nano,DNA Seq
271,1028,3/24/2015,6,5/6/2015,43.95833333,TruSeq RNA stranded,RNA Seq
272,1029,2/3/2015,55,7/27/2015,174.95833330000002,TruSeq RNA stranded,RNA Seq
273,1030,3/20/2015,75,9/28/2015,192.95833330000002,TruSeq Small RNA,Others
274,1031,3/23/2015,11,4/14/2015,22.95833333,Nextera XT,DNA Seq
275,1033,1/29/2015,26,4/20/2015,81.95833333,NEB Next Ultra DNA,DNA Seq
276,1039,3/18/2015,18,6/24/2015,98.95833333,TruSeq RNA stranded,RNA Seq
277,1040,3/16/2015,29,4/13/2015,28.95833333,Nextera XT,DNA Seq
278,1041,2/14/2015,9,5/4/2015,79.95833333,TruSeq RNA stranded,RNA Seq
279,1046,3/17/2015,9,5/27/2015,71.95833333,TruSeq RNA stranded,RNA Seq
280,1047,3/17/2015,1,5/27/2015,71.95833333,TruSeq RNA stranded,RNA Seq
281,1048,3/2/2015,12,5/27/2015,86.95833333,TruSeq RNA stranded,RNA Seq
282,1051,4/2/2015,8,6/22/2015,82.0,TruSeq RNA stranded,RNA Seq
283,1053,3/26/2015,11,5/6/2015,41.95833333,Ready Made Fragment Library,Sequencing only
284,1055,3/2/2015,56,7/13/2015,133.9583333,Nextera XT,DNA Seq
285,1058,3/27/2015,5,4/20/2015,24.95833333,Ready-made library ddRAD,Sequencing only
286,1059,4/20/2015,5,4/20/2015,1.0,NEB Next Ultra DNA,DNA Seq
287,1061,4/23/2015,2,5/13/2015,21.0,TruSeq RNA stranded,RNA Seq
288,1062,4/23/2015,4,6/24/2015,63.0,TruSeq DNA Nano,DNA Seq
289,1063,3/31/2015,4,4/28/2015,29.0,NEB Next Ultra DNA,DNA Seq
290,1064,4/21/2015,1,5/14/2015,24.0,Ready Made library,Others
291,1065,4/17/2015,9,5/6/2015,20.0,Ready Made Fragment Library,Sequencing only
292,1066,2/3/2015,55,6/22/2015,139.95833330000002,TruSeq RNA stranded,RNA Seq
293,1067,4/27/2015,22,6/22/2015,57.0,TruSeq RNA stranded,RNA Seq
294,1069,4/29/2015,5,5/14/2015,16.0,Ready Made Library,Others
295,1070,2/9/2015,24,5/14/2015,94.95833333,TruSeq DNA Nano,DNA Seq
296,1071,4/16/2015,8,6/11/2015,57.0,TruSeq RNA stranded,RNA Seq
297,1073,4/29/2015,10,6/24/2015,57.0,TruSeq RNA stranded,RNA Seq
298,1074,5/6/2015,4,5/27/2015,22.0,TruSeq RNA stranded,RNA Seq
299,1076,12/12/2014,4,6/24/2015,194.95833330000002,TruSeq RNA stranded,RNA Seq
300,1077,3/31/2015,8,5/26/2015,57.0,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
301,1078,3/23/2015,8,6/22/2015,91.95833333,TruSeq RNA stranded,RNA Seq
302,1079,4/30/2015,9,6/11/2015,43.0,TruSeq RNA stranded,RNA Seq
303,1081,5/7/2015,1,5/11/2015,5.0,Ready Made Library-Homemade kit,Sequencing only
304,1083,5/7/2015,21,5/11/2015,5.0,NEB Next Ultra DNA,DNA Seq
305,1084,4/30/2015,8,6/9/2015,41.0,TruSeq RNA stranded,RNA Seq
306,1085,4/1/2015,7,6/23/2015,84.0,TruSeq RNA stranded,RNA Seq
307,1086,4/29/2015,192,10/22/2015,177.0,NEB Next Ultra DNA,DNA Seq
308,1089,5/7/2015,8,6/9/2015,34.0,TruSeq RNA stranded,RNA Seq
309,1090,3/19/2015,16,6/11/2015,84.95833333,TruSeq RNA stranded,RNA Seq
310,1091,4/28/2015,8,5/26/2015,29.0,Ready-made library ddRAD,Sequencing only
311,1092,4/28/2015,3,7/22/2015,86.0,TruSeq RNA stranded,RNA Seq
312,1093,5/8/2015,1,5/27/2015,20.0,Ready Made library,Others
313,1094,4/30/2015,1,6/24/2015,56.0,TruSeq DNA Nano,DNA Seq
314,1096,5/12/2015,3,5/26/2015,15.0,Ready Made Libraries,Others
315,1097,5/12/2015,3,5/26/2015,15.0,Ready Made Libraries,Others
316,1099,5/11/2015,8,6/30/2015,51.0,TruSeq RNA stranded,RNA Seq
317,1100,5/13/2015,1,5/26/2015,14.0,Ready Made library,Others
318,1103,5/13/2015,16,7/27/2015,76.0,TruSeq DNA Nano,DNA Seq
319,1104,5/12/2015,18,6/30/2015,50.0,TruSeq RNA stranded,RNA Seq
320,1105,5/19/2015,10,6/24/2015,37.0,TruSeq DNA Nano,DNA Seq
321,1106,5/20/2015,8,6/22/2015,34.0,NuGEN Ovation Single Cell RNA-Seq System,Sequencing only
322,1107,3/20/2015,9,7/22/2015,124.95833329999999,Ready Made Library-Homemade kit,Sequencing only
323,1110,5/12/2015,24,6/22/2015,42.0,TruSeq RNA stranded,RNA Seq
324,1111,5/13/2015,8,6/24/2015,43.0,Ready Made Library,Others
325,1112,5/26/2015,1,6/24/2015,30.0,Ready Made library,Others
326,1113,5/28/2015,12,6/30/2015,34.0,TruSeq RNA stranded,RNA Seq
327,1114,5/29/2015,8,6/24/2015,27.0,TruSeq RNA stranded,RNA Seq
328,1115,5/29/2015,17,6/23/2015,26.0,TruSeq RNA stranded,RNA Seq
329,1116,4/20/2015,36,9/18/2016,518.0,NEBnext smRNA,Others
330,1117,6/2/2015,22,6/30/2015,29.0,TruSeq RNA stranded,RNA Seq
331,1118,6/2/2015,6,7/22/2015,51.0,TruSeq RNA stranded,RNA Seq
