id,start_date,num_samples,end_date,days_to_complete,library_type
828,11/6/2014,12,12/6/2014,31,NuGEN Ovation Single Cell RNA-Seq System
831,11/5/2014,24,1/27/2016,449,TruSeq RNA stranded
832,10/27/2014,1,12/22/2014,57,NEB Next Ultra DNA
835,11/17/2014,3,12/28/2014,42,Ready Made Library-Homemade kit
836,11/20/2014,10,12/16/2014,27,TruSeq RNA stranded
837,11/13/2014,19,12/28/2014,46,TruSeq RNA stranded
840,11/20/2014,48,12/16/2014,27,TruSeq RNA stranded
842,11/20/2014,1,12/16/2014,27,NEB Next Ultra DNA
843,11/13/2014,1,12/22/2014,40,NEB Next Ultra DNA
847,11/20/2014,4,12/17/2014,28,Nextera XT
848,10/31/2014,6,12/22/2014,53,
850,11/20/2014,1,12/28/2014,39,Ready Made Fragment Library
851,11/6/2014,6,12/16/2014,41,TruSeq RNA stranded
852,11/20/2014,48,12/16/2014,27,TruSeq RNA stranded
853,11/20/2014,6,12/16/2014,27,TruSeq RNA stranded
855,9/30/2014,4,12/22/2014,84.04166667,TruSeq RNA stranded
856,10/31/2014,24,12/28/2014,59,TruSeq RNA stranded
857,11/24/2014,12,12/28/2014,35,TruSeq RNA stranded
859,11/20/2014,10,12/16/2014,27,TruSeq RNA stranded
861,10/23/2014,16,4/16/2015,176,TruSeq RNA stranded
863,12/5/2014,2,12/16/2014,12,Ready Made library
865,12/2/2014,3,12/28/2014,27,NEB Next Ultra DNA
866,12/9/2014,1,12/28/2014,20,NEB Next Ultra DNA
867,11/25/2014,15,12/22/2014,28,Ready Made Fragment Library
868,12/9/2014,12,4/16/2015,128.9583333,TruSeq RNA stranded
871,12/11/2014,3,2/5/2015,57,Nextera XT
872,12/10/2014,18,4/16/2015,127.9583333,TruSeq RNA stranded
873,11/13/2014,105,4/16/2015,154.9583333,TruSeq RNA stranded
874,12/12/2014,7,4/16/2015,125.9583333,TruSeq RNA stranded
878,12/16/2014,31,4/16/2015,121.9583333,NEB Next Ultra DNA
880,12/18/2014,1,12/28/2014,11,Ready Made library
882,12/18/2014,5,4/16/2015,119.9583333,TruSeq Small RNA
883,12/12/2014,8,1/27/2015,47,TruSeq RNA stranded
884,12/11/2014,3,4/16/2015,126.9583333,NEB Next Ultra DNA
885,12/18/2014,5,1/27/2015,41,TruSeq RNA stranded
886,12/19/2014,30,12/28/2014,10,NEBnext smRNA
888,12/15/2014,96,4/16/2015,122.9583333,
890,1/5/2015,11,4/16/2015,101.9583333,Ready Made Library
892,10/21/2014,5,1/27/2015,99.04166667,TruSeq RNA stranded
893,11/3/2014,51,4/16/2015,164.9583333,TruSeq RNA unstranded
894,12/19/2014,2,4/16/2015,118.9583333,TruSeq RNA stranded
895,1/8/2015,17,4/16/2015,98.95833333,None
896,9/1/2014,12,4/16/2015,228,TruSeq RNA stranded
897,11/13/2014,36,1/27/2015,76,TruSeq RNA stranded
899,1/8/2015,9,4/16/2015,98.95833333,TruSeq RNA stranded
900,1/12/2015,8,1/27/2015,16,TruSeq RNA stranded
901,1/12/2015,45,4/16/2015,94.95833333,TruSeq RNA stranded
902,11/27/2014,12,4/16/2015,140.9583333,
903,1/16/2015,22,5/6/2015,110.9583333,NEB Next Ultra DNA
904,1/20/2015,9,4/16/2015,86.95833333,TruSeq RNA stranded
906,1/19/2015,42,7/22/2015,184.9583333,TruSeq RNA stranded
907,11/6/2014,24,4/16/2015,161.9583333,TruSeq RNA stranded
912,1/19/2015,6,4/16/2015,87.95833333,TruSeq RNA stranded
913,1/20/2015,12,4/16/2015,86.95833333,TruSeq RNA stranded
915,2/2/2015,10,4/16/2015,73.95833333,TruSeq RNA stranded
916,11/13/2014,105,4/16/2015,154.9583333,TruSeq RNA stranded
917,1/19/2015,4,8/25/2015,218.9583333,TruSeq RNA stranded
921,2/3/2015,10,4/16/2015,72.95833333,Ready Made Library
922,1/28/2015,4,4/16/2015,78.95833333,Ready Made Libraries
923,1/30/2015,17,4/16/2015,76.95833333,NEB Next Ultra DNA
925,2/11/2015,8,4/16/2015,64.95833333,Ready Made library
927,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded
928,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded
929,2/9/2015,18,4/16/2015,66.95833333,TruSeq RNA stranded
933,2/6/2015,5,4/16/2015,69.95833333,NEB Next Ultra DNA
934,12/12/2014,4,4/16/2015,125.9583333,
938,1/19/2015,2,4/16/2015,87.95833333,Nextera XT
942,1/15/2015,7,4/16/2015,91.95833333,Ready Made Library
947,2/16/2015,1,4/16/2015,59.95833333,Ready Made library
949,2/19/2015,10,4/16/2015,56.95833333,TruSeq RNA stranded
950,2/19/2015,30,4/20/2015,60.95833333,TruSeq RNA stranded
951,2/20/2015,32,4/20/2015,59.95833333,TruSeq RNA stranded
953,12/9/2014,4,4/16/2015,128.9583333,TruSeq Small RNA
954,4/10/2014,12,4/16/2015,372,NEBnext smRNA
955,2/23/2015,15,4/16/2015,52.95833333,NuGEN Ovation Single Cell RNA-Seq System
956,2/19/2015,16,4/16/2015,56.95833333,Ready Made Library
957,2/19/2015,15,4/16/2015,56.95833333,Ready Made Library
958,2/19/2015,11,4/16/2015,56.95833333,Ready Made Library
959,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library
960,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library
961,2/19/2015,10,4/16/2015,56.95833333,Ready Made Library
962,2/15/2015,17,4/14/2015,58.95833333,
963,2/13/2015,10,4/16/2015,62.95833333,Ready Made Library
964,2/17/2015,9,4/16/2015,58.95833333,TruSeq RNA stranded
966,2/19/2015,9,4/16/2015,56.95833333,TruSeq RNA stranded
967,2/20/2015,96,4/16/2015,55.95833333,Ready Made Library-Homemade kit
968,2/25/2015,2,4/16/2015,50.95833333,NEB Next Ultra DNA
969,2/23/2015,1,4/16/2015,52.95833333,NEB Next Ultra DNA
971,2/10/2015,2,4/16/2015,65.95833333,Ready made Library Bisulfide Treatment
972,2/5/2015,1,4/16/2015,70.95833333,Ready Made library
974,3/2/2015,22,4/14/2015,43.95833333,TruSeq RNA stranded
975,3/4/2015,96,4/16/2015,43.95833333,
976,1/15/2015,5,4/16/2015,91.95833333,Ready Made Library
982,3/5/2015,9,5/13/2015,69.95833333,TruSeq RNA stranded
988,2/17/2015,9,4/16/2015,58.95833333,TruSeq RNA stranded
990,2/2/2015,4,5/27/2015,114.9583333,TruSeq RNA stranded
991,3/11/2015,6,8/16/2015,158.9583333,TruSeq RNA stranded
992,3/9/2015,12,5/13/2015,65.95833333,TruSeq RNA stranded
993,3/6/2015,12,6/23/2015,109.9583333,NEBnext smRNA
994,3/6/2015,9,6/23/2015,109.9583333,NEBnext smRNA
996,3/9/2015,8,4/14/2015,36.95833333,TruSeq RNA stranded
1012,3/10/2015,2,4/20/2015,41.95833333,TruSeq DNA Nano
1013,3/17/2015,1,4/16/2015,30.95833333,Ready-made library ddRAD
1014,2/27/2015,2,5/6/2015,68.95833333,TruSeq DNA Nano
1015,2/27/2015,6,4/20/2015,52.95833333,TruSeq RNA stranded
1016,3/17/2015,1,4/16/2015,30.95833333,Ready Made library
1017,3/13/2015,12,5/4/2015,52.95833333,TruSeq RNA stranded
1018,3/3/2015,6,4/16/2015,44.95833333,Ready Made Fragment Library
1019,3/11/2015,1,4/16/2015,36.95833333,Ready Made Library
1020,3/17/2015,5,4/16/2015,30.95833333,Ready Made Library
1021,3/19/2015,5,5/6/2015,48.95833333,TruSeq DNA Nano
1023,3/12/2015,12,6/22/2015,102.9583333,
1024,3/19/2015,4,5/6/2015,48.95833333,TruSeq DNA Nano
1025,3/23/2015,20,6/9/2015,78.95833333,TruSeq RNA stranded
1026,3/20/2015,7,5/6/2015,47.95833333,TruSeq DNA Nano
1028,3/24/2015,6,5/6/2015,43.95833333,TruSeq RNA stranded
1029,2/3/2015,55,7/27/2015,174.9583333,TruSeq RNA stranded
1030,3/20/2015,75,9/28/2015,192.9583333,TruSeq Small RNA
1031,3/23/2015,11,4/14/2015,22.95833333,Nextera XT
1033,1/29/2015,26,4/20/2015,81.95833333,NEB Next Ultra DNA
1039,3/18/2015,18,6/24/2015,98.95833333,TruSeq RNA stranded
1040,3/16/2015,29,4/13/2015,28.95833333,Nextera XT
1041,2/14/2015,9,5/4/2015,79.95833333,TruSeq RNA stranded
1046,3/17/2015,9,5/27/2015,71.95833333,TruSeq RNA stranded
1047,3/17/2015,1,5/27/2015,71.95833333,TruSeq RNA stranded
1048,3/2/2015,12,5/27/2015,86.95833333,TruSeq RNA stranded
1051,4/2/2015,8,6/22/2015,82,TruSeq RNA stranded
1053,3/26/2015,11,5/6/2015,41.95833333,Ready Made Fragment Library
1055,3/2/2015,56,7/13/2015,133.9583333,Nextera XT
1058,3/27/2015,5,4/20/2015,24.95833333,Ready-made library ddRAD
1059,4/20/2015,5,4/20/2015,1,NEB Next Ultra DNA
1061,4/23/2015,2,5/13/2015,21,TruSeq RNA stranded
1062,4/23/2015,4,6/24/2015,63,TruSeq DNA Nano
1063,3/31/2015,4,4/28/2015,29,NEB Next Ultra DNA
1064,4/21/2015,1,5/14/2015,24,Ready Made library
1065,4/17/2015,9,5/6/2015,20,Ready Made Fragment Library
1066,2/3/2015,55,6/22/2015,139.9583333,TruSeq RNA stranded
1067,4/27/2015,22,6/22/2015,57,TruSeq RNA stranded
1069,4/29/2015,5,5/14/2015,16,Ready Made Library
1070,2/9/2015,24,5/14/2015,94.95833333,TruSeq DNA Nano
1071,4/16/2015,8,6/11/2015,57,TruSeq RNA stranded
1073,4/29/2015,10,6/24/2015,57,TruSeq RNA stranded
1074,5/6/2015,4,5/27/2015,22,TruSeq RNA stranded
1076,12/12/2014,4,6/24/2015,194.9583333,TruSeq RNA stranded
1077,3/31/2015,8,5/26/2015,57,NuGEN Ovation Single Cell RNA-Seq System
1078,3/23/2015,8,6/22/2015,91.95833333,TruSeq RNA stranded
1079,4/30/2015,9,6/11/2015,43,TruSeq RNA stranded
1081,5/7/2015,1,5/11/2015,5,Ready Made Library-Homemade kit
1083,5/7/2015,21,5/11/2015,5,NEB Next Ultra DNA
1084,4/30/2015,8,6/9/2015,41,TruSeq RNA stranded
1085,4/1/2015,7,6/23/2015,84,TruSeq RNA stranded
1086,4/29/2015,192,10/22/2015,177,NEB Next Ultra DNA
1089,5/7/2015,8,6/9/2015,34,TruSeq RNA stranded
1090,3/19/2015,16,6/11/2015,84.95833333,TruSeq RNA stranded
1091,4/28/2015,8,5/26/2015,29,Ready-made library ddRAD
1092,4/28/2015,3,7/22/2015,86,TruSeq RNA stranded
1093,5/8/2015,1,5/27/2015,20,Ready Made library
1094,4/30/2015,1,6/24/2015,56,TruSeq DNA Nano
1096,5/12/2015,3,5/26/2015,15,Ready Made Libraries
1097,5/12/2015,3,5/26/2015,15,Ready Made Libraries
1099,5/11/2015,8,6/30/2015,51,TruSeq RNA stranded
1100,5/13/2015,1,5/26/2015,14,Ready Made library
1103,5/13/2015,16,7/27/2015,76,TruSeq DNA Nano
1104,5/12/2015,18,6/30/2015,50,TruSeq RNA stranded
1105,5/19/2015,10,6/24/2015,37,TruSeq DNA Nano
1106,5/20/2015,8,6/22/2015,34,NuGEN Ovation Single Cell RNA-Seq System
1107,3/20/2015,9,7/22/2015,124.9583333,Ready Made Library-Homemade kit
1110,5/12/2015,24,6/22/2015,42,TruSeq RNA stranded
1111,5/13/2015,8,6/24/2015,43,Ready Made Library
1112,5/26/2015,1,6/24/2015,30,Ready Made library
1113,5/28/2015,12,6/30/2015,34,TruSeq RNA stranded
1114,5/29/2015,8,6/24/2015,27,TruSeq RNA stranded
1115,5/29/2015,17,6/23/2015,26,TruSeq RNA stranded
1116,4/20/2015,36,9/18/2016,518,NEBnext smRNA
1117,6/2/2015,22,6/30/2015,29,TruSeq RNA stranded
1118,6/2/2015,6,7/22/2015,51,TruSeq RNA stranded
1119,5/29/2015,3,9/28/2015,123,TruSeq RNA stranded
1120,5/27/2015,36,8/4/2015,70,TruSeq RNA stranded
1121,6/2/2015,4,7/22/2015,51,NEB Next Ultra DNA
1122,6/4/2015,9,7/22/2015,49,TruSeq RNA stranded
1124,5/4/2015,4,7/22/2015,80,Nugen Ultra Low Input
1125,6/1/2015,6,7/27/2015,57,TruSeq RNA stranded
1126,6/4/2015,15,7/23/2015,50,TruSeq RNA stranded
1127,5/20/2015,6,7/27/2015,69,TruSeq RNA stranded
1130,5/19/2015,15,7/22/2015,65,TruSeq RNA stranded
1132,3/18/2015,20,7/22/2015,126.9583333,TruSeq RNA stranded
1134,6/9/2015,8,7/22/2015,44,TruSeq RNA stranded
1135,6/9/2015,48,8/21/2015,74,
1136,6/8/2015,8,7/22/2015,45,Ready Made Library
1138,6/8/2015,8,7/22/2015,45,Ready Made Library
1143,6/4/2015,1,6/30/2015,27,Ready-made library ddRAD
1145,6/16/2015,9,8/21/2015,67,NEBnext smRNA
1146,6/15/2015,18,8/4/2015,51,TruSeq RNA stranded
1148,6/22/2015,30,8/6/2015,46,TruSeq RNA stranded
1149,6/23/2015,96,7/22/2015,30,Ready Made Fragment Library
1153,4/12/2015,10,8/25/2015,136,Ready-made library ddRAD
1154,6/12/2015,14,8/4/2015,54,Ready Made library
1157,6/17/2015,25,8/21/2015,66,TruSeq RNA stranded
1158,5/26/2015,4,8/16/2015,83,TruSeq DNA Nano
1161,6/10/2015,4,7/13/2015,34,TruSeq RNA stranded
1162,5/19/2015,7,7/22/2015,65,TruSeq RNA stranded
1168,2/4/2015,24,8/21/2015,198.9583333,TruSeq RNA stranded
1169,6/26/2015,18,8/11/2015,47,TruSeq RNA stranded
1170,7/1/2015,10,8/11/2015,42,TruSeq RNA stranded
1171,6/30/2015,1,7/22/2015,23,Ready Made library
1172,6/24/2015,11,8/11/2015,49,TruSeq RNA stranded
1174,7/1/2015,4,8/16/2015,47,TruSeq RNA stranded
1176,3/31/2015,6,7/22/2015,114,NuGEN Ovation Single Cell RNA-Seq System
1177,7/30/2014,19,8/21/2015,388,TruSeq RNA stranded
1178,7/6/2015,12,7/27/2015,22,TruSeq RNA stranded
1180,7/7/2015,4,7/22/2015,16,Ready Made Fragment Library
1181,7/6/2015,6,8/21/2015,47,TruSeq RNA stranded
1182,6/26/2015,4,8/6/2015,42,TruSeq DNA Nano
1183,5/22/2015,9,8/11/2015,82,TruSeq DNA Nano
1184,6/25/2015,8,8/21/2015,58,TruSeq RNA stranded
1185,6/29/2015,18,8/25/2015,58,
1186,7/9/2015,9,8/6/2015,29,TruSeq RNA stranded
1187,7/13/2015,1,7/31/2015,19,Nextera XT
1193,6/24/2015,6,7/27/2015,34,TruSeq RNA stranded
1194,7/10/2015,10,9/17/2015,70,Agilent Sure Select Human All Exon v5+UTR
1195,7/10/2015,4,8/25/2015,47,TruSeq RNA stranded
1198,7/10/2015,12,8/4/2015,26,TruSeq RNA stranded
1201,7/16/2015,4,9/28/2015,75,NEBnext smRNA
1204,7/22/2015,10,8/21/2015,31,NEBnext smRNA
1205,7/22/2015,8,9/3/2015,44,TruSeq DNA Nano
1207,6/29/2015,24,8/21/2015,54,TruSeq RNA stranded
1213,7/27/2015,9,8/25/2015,30,TruSeq RNA stranded
1214,6/22/2015,8,8/11/2015,51,Ready Made Library
1215,7/24/2015,13,8/21/2015,29,NEBnext smRNA
1216,7/28/2015,6,9/3/2015,38,TruSeq RNA stranded
1217,7/28/2015,12,8/25/2015,29,TruSeq RNA stranded
1218,7/29/2015,20,8/21/2015,24,None
1219,7/31/2015,12,9/7/2015,39,TruSeq RNA stranded
1221,7/15/2015,1,9/3/2015,51,Ready Made library
1224,7/28/2015,10,8/25/2015,29,TruSeq RNA stranded
1225,8/4/2015,12,9/16/2015,44,TruSeq RNA stranded
1227,7/29/2015,8,8/21/2015,24,TruSeq RNA stranded
1228,8/5/2015,8,8/25/2015,21,TruSeq RNA stranded
1231,8/4/2015,48,10/20/2015,78,TruSeq RNA stranded
1232,8/6/2015,8,9/3/2015,29,Ready Made Library
1234,8/6/2015,15,9/3/2015,29,TruSeq DNA Nano
1237,8/5/2015,12,9/28/2015,55,TruSeq RNA stranded
1238,7/9/2015,9,9/3/2015,57,TruSeq DNA Nano
1239,8/6/2015,42,10/20/2015,76,
1241,7/21/2015,16,9/28/2015,70,TruSeq RNA stranded
1242,8/5/2015,8,9/17/2015,44,TruSeq RNA stranded
1245,8/20/2015,1,9/7/2015,19,Ready Made Fragment Library
1246,8/19/2015,4,10/2/2015,45,TruSeq RNA stranded
1247,8/20/2015,5,9/17/2015,29,Ready Made Fragment Library
1248,8/21/2015,1,10/22/2015,63,TruSeq RNA stranded
1252,8/20/2015,6,9/28/2015,40,TruSeq RNA stranded
1254,8/25/2015,30,9/16/2015,23,Ready Made Libraries
1255,8/20/2015,4,9/16/2015,28,Nugen Ultra Low Input
1256,8/21/2015,1,9/17/2015,28,Lucigen Mate Pair Library prep
1257,2/27/2015,2,9/17/2015,202.9583333,Lucigen Mate Pair Library prep
1258,6/17/2015,4,11/4/2015,141.0416667,Lucigen Mate Pair Library prep
1260,8/27/2015,12,9/7/2015,12,NuGEN Ovation Mouse RNA-seq System 1-16
1261,8/18/2015,18,10/12/2015,56,TruSeq RNA stranded
1262,8/27/2015,4,9/16/2015,21,Nugen Ultra Low Input
1263,8/17/2015,1,9/1/2015,16,NEB Next Ultra DNA
1264,9/1/2015,26,11/3/2015,64.04166667,TruSeq RNA stranded
1265,9/1/2015,14,10/22/2015,52,NEB Next Ultra DNA
1267,9/7/2015,18,10/18/2015,42,TruSeq RNA stranded
1273,9/4/2015,12,10/18/2015,45,TruSeq RNA stranded
1277,8/4/2015,48,10/20/2015,78,TruSeq RNA stranded
1280,9/9/2015,6,10/2/2015,24,Ready made Library Bisulfide Treatment
1281,8/10/2015,2,10/22/2015,74,TruSeq RNA stranded
1282,9/10/2015,9,10/18/2015,39,TruSeq RNA stranded
1283,8/5/2015,8,11/3/2015,91.04166667,TruSeq RNA stranded
